mean_SCL,nsSCR,TVSymp,LF,valence,arousal,class
10.54270656,26.4,3.49345588,0.00023919,5.891967658,4.835165953,0
10.75942351,25.2,2.697798382,0.00023919,5.891967709,4.835165918,0
10.91875257,21.2,1.612253555,0.00023919,5.891769439,4.838694155,0
11.00587998,17.2,1.213251508,0.00023919,5.910581453,4.890172719,0
11.02324871,13.2,0.917705225,0.00023919,5.927091354,4.938793765,0
10.98962253,12.2,0.755334026,0.00023919,5.89692789,4.98940865,0
10.92892982,12.2,0.660487977,0.00023919,5.862167225,5.03418412,0
10.85848019,11.8,0.505656813,0.00023919,5.825037306,5.071234048,0
10.78782071,8.2,0.425984609,0.00023919,5.791198603,5.114764745,0
10.71905669,4.2,0.37810987,0.00023919,5.752551372,5.164111285,0
10.65067633,1,0.369829392,0.00023919,5.713628092,5.21357258,0
10.58159029,0.2,0.352261782,0.00023919,5.68206153,5.266889244,0
10.51152385,0.2,0.321708296,0.00023919,5.653548242,5.3207791,0
10.44097738,0.2,0.299506751,0.00023919,5.619755335,5.358387217,0
10.3707548,0.2,0.279937518,0.00023919,5.60023115,5.388290811,0
10.30146567,0.2,0.265878965,0.00023919,5.577353543,5.428790527,0
10.23347682,0,0.254339936,0.00023919,5.554295774,5.47022622,0
8.961843064,0.4,0.141070267,0.00023919,4.830198719,4.83021092,0
8.924299379,0.4,0.139307206,0.00023919,4.830254693,4.830254609,0
8.886992771,0.4,0.136811294,0.00023919,4.830254385,4.830254385,0
8.850051412,0.4,0.133362889,0.00023919,4.830254395,4.830254395,0
8.813745366,0.4,0.129684261,0.00023919,4.830254395,4.830254395,0
8.778319099,0.4,0.127498032,0.00023919,4.830254395,4.830254395,0
8.743814583,0.4,0.125968789,0.00023919,4.830254395,4.830254395,0
8.710054118,0.4,0.123755798,0.00023919,4.830254395,4.830254395,0
8.676654137,0.4,0.120814143,0.00023919,4.830254395,4.830254395,0
8.643189663,0.4,0.11842328,0.00023919,4.830254395,4.830254395,0
8.609368016,0.4,0.115610372,0.00023919,4.830254395,4.830254395,0
8.575045679,0,0.111021657,0.00023919,4.830254395,4.830254395,0
8.540225557,0,0.111616171,0.00023919,4.830254395,4.830254395,0
8.505024332,0,0.106162296,0.00023919,4.830254395,4.830254395,0
8.469637983,0,0.101490211,0.00023919,4.830254395,4.830254395,0
8.434338435,0,0.100570653,0.00023919,4.830254395,4.830254395,0
8.399462886,0,0.10324447,0.00023919,4.830254395,4.830254395,0
8.365286491,0.4,0.101972166,0.00023919,4.830254395,4.830254395,0
8.331887897,0.6,0.102255552,0.00023919,4.830254395,4.830254395,0
8.299136194,0.6,0.102880785,0.00023919,4.830254395,4.830254395,0
8.266711954,0.6,0.102432598,0.00023919,4.830254395,4.830254395,0
8.234358133,0.6,0.100853503,0.00023919,4.830254395,4.830254395,0
8.202145059,0.6,0.105212568,0.00023919,4.830254395,4.830254395,0
8.170496155,0.6,0.115886763,0.00023919,4.830254395,4.830254395,0
7.657699512,4.2,0.091093587,0.00023919,4.831137492,5.671632761,0
7.637942571,1.2,0.08023495,0.00023919,4.824067734,5.739390555,0
7.616509,0,0.071103806,0.00023919,4.799262929,5.806996154,0
7.593528606,0,0.066608735,0.00023919,4.766176324,5.877274292,0
7.569547025,0,0.06624643,0.00023919,4.725869453,5.989822855,0
7.545223457,0,0.067087237,0.00023919,4.676780223,6.154753451,0
7.521011397,0,0.065621793,0.00023919,4.626701575,6.340414772,0
7.497127644,0,0.062484979,0.00023919,4.559794208,6.539399469,0
7.473563707,0,0.06121527,0.00023919,4.49233515,6.654644449,3
7.450221716,0,0.061328153,0.00023919,4.423111097,6.716693012,3
7.427057978,0,0.061009893,0.00023919,4.35113728,6.778651015,3
7.40409691,0,0.059929868,0.00023919,4.279448212,6.840800289,3
7.381426874,0,0.05966897,0.00023919,4.207759075,6.902951977,3
7.359150438,0,0.058847074,0.00023919,4.136246937,6.959018301,3
7.33733185,0,0.058018546,0.00023919,4.064943454,7.01323775,3
7.315991943,0,0.058167458,0.00023919,3.993818072,7.067457368,3
7.295109476,0,0.057240801,0.00023919,3.92204898,7.121673679,3
7.274637162,0,0.057244589,0.00023919,3.831238062,7.18174618,3
7.254518595,0.2,0.057003948,0.00023919,3.733647696,7.258515344,3
7.234689894,0.2,0.058945009,0.00023919,3.625331202,7.343357262,3
7.215081538,0.2,0.058065045,0.00023919,3.514710913,7.428426976,3
7.195640262,0.2,0.057191628,0.00023919,3.39483843,7.515509763,3
7.176352187,0.2,0.05748664,0.00023919,3.266231155,7.608010933,3
7.157245058,0.2,0.056845575,0.00023919,3.137365568,7.700510278,3
6.731234487,0,0.043680913,0.00023919,3.007925846,7.793049748,3
6.714931048,0,0.043354011,0.00023919,2.885383769,7.886421189,3
6.698581835,0,0.042664278,0.00023919,2.780576751,7.979944862,3
6.682193394,0,0.042527826,0.00023919,2.684047808,8.070794452,3
6.665798619,0,0.042412706,0.00023919,2.595181265,8.135015537,3
6.649440908,0,0.04173568,0.00023919,2.51889345,8.189516684,3
6.633157435,0,0.04149312,0.00023919,2.444907242,8.239479414,3
6.616977524,0,0.04113026,0.00023919,2.376127004,8.277264367,3
6.600922244,0,0.04104691,0.00023919,2.310917578,8.312622549,3
6.584999623,0,0.040488103,0.00023919,2.2485105,8.347048656,3
6.569199583,0,0.040255513,0.00023919,4.829592632,4.838315352,0
6.553493451,0,0.040353081,0.00023919,4.830254475,4.830258567,0
6.537835711,0,0.03948961,0.00023919,4.830254395,4.830336148,0
6.522184912,0,0.039305446,0.00023919,4.830254395,4.831179379,0
6.506525746,0,0.039337353,0.00023919,4.830254395,4.832388941,0
6.490871198,0,0.039015817,0.00023919,4.830254395,4.834412472,0
6.475260723,0,0.038685752,0.00023919,4.830254395,4.834409179,0
6.459738638,0,0.038070152,0.00023919,4.830254395,4.834409219,0
6.444331277,0,0.03809193,0.00023919,4.830254395,4.834409219,0
6.429044783,0,0.037764541,0.00023919,4.830254395,4.834409257,0
6.413866138,0,0.037892206,0.00023919,4.830254395,4.834405774,0
6.398775508,0,0.037076823,0.00023919,4.830254395,4.837315398,0
6.383759287,0,0.036739989,0.00023919,4.830254395,4.842082665,0
6.368811354,0,0.03687622,0.00023919,4.830254395,4.842084555,0
6.012494051,0,0.03085921,0.00023919,4.830254395,4.842164102,0
5.999028955,0,0.030936616,0.00023919,4.830254395,4.845106067,0
5.985628394,0,0.031011443,0.00023919,4.830254395,4.850787657,0
5.97229893,0,0.030370791,0.00023919,4.830254395,4.857481624,0
5.959050156,0,0.029987411,0.00023919,4.830254395,4.864647024,0
5.945890291,0,0.029979384,0.00023919,4.830254395,4.871811891,0
5.932821533,0,0.029815706,0.00023919,4.830254395,4.878976771,0
5.919839607,0,0.029672141,0.00023919,4.830254395,4.886141197,0
5.906934282,0,0.029340133,0.00023919,4.830254395,4.890901152,0
5.894095557,0,0.029140105,0.00023919,4.830254392,4.894008238,0
5.88132019,0,0.029078368,0.00023919,6.343743147,4.232465326,4
5.868612337,0,0.028802298,0.00023919,6.411248329,4.228438029,4
5.855983124,0,0.02840278,0.00023919,6.453396011,4.226884609,4
5.843445632,0,0.02851437,0.00023919,6.46606412,4.242105726,4
5.831009583,0,0.028482741,0.00023919,6.471915079,4.281583041,4
5.818680836,0,0.027751533,0.00023919,6.477117672,4.329565751,4
5.80646164,0,0.027631617,0.00023919,6.480268871,4.374086478,4
5.7943538,0,0.027775252,0.00023919,6.482979085,4.419625475,4
5.782362004,0,0.027641748,0.00023919,6.486115541,4.469526922,4
5.770494151,0,0.027101011,0.00023919,6.490733488,4.503786738,0
5.758761003,0,0.026893824,0.00023919,6.495852094,4.539733326,0
5.74717208,0,0.026965504,0.00023919,6.501239703,4.575678658,0
5.735731322,0,0.026580308,0.00023919,6.506739701,4.608552131,0
5.724436665,0,0.026373765,0.00023919,6.510659167,4.644478297,0
5.713280302,0,0.026813497,0.00023919,6.511866812,4.675311526,0
5.702251726,0,0.026301484,0.00023919,6.513074371,4.706350324,0
5.69134095,0,0.026476595,0.00023919,6.514281935,4.737642903,0
5.680538822,0,0.026544851,0.00023919,6.515489495,4.768874079,0
5.669837097,0,0.026413181,0.00023919,6.516709392,4.798752173,0
5.659229356,0,0.026195764,0.00023919,6.518253615,4.820923149,0
5.648711972,0,0.025805781,0.00023919,6.523007001,4.855899846,0
5.638284202,0,0.025986546,0.00023919,6.526426217,4.907089872,0
5.627947768,0,0.025752657,0.00023919,6.525975791,4.949923605,0
